body_temperature,breed_type,milk_production,respiratory_rate,walking_capacity,sleeping_duration,body_condition_score,heart_rate,eating_duration,lying_down_duration,ruminating,rumen_fill,faecal_consistency,health_status
-0.932699777,-0.988826465,-0.177469183,0.750898517,0.969189896,-0.922554457,0.071853711,-0.301434168,0.493349034,0.691262295,0.949631441,0.247469247,-0.270809304,1.011299794
-0.127890967,1.011299794,1.414133043,0.853555918,0.831345766,-0.472475031,-0.727518824,0.613144501,1.416341371,-1.165015333,0.778716985,1.205067636,0.532591632,-0.988826465
-0.472809028,-0.988826465,-0.010729903,1.366842923,1.182615977,-1.11544564,0.071853711,1.299078503,0.229636938,-0.899832815,0.864174213,-0.710129142,0.532591632,-0.988826465
0.561945157,1.011299794,1.732453488,0.03229671,0.852409588,-0.729663275,0.871226247,1.070433836,1.020773227,-0.303172149,0.949631441,-0.710129142,-2.681012112,1.011299794
0.791890531,1.011299794,1.17160318,1.982787329,0.324884746,-0.215286788,-0.727518824,0.68935939,0.361492986,-0.303172149,1.206003124,2.162666025,0.532591632,-0.988826465
1.136808593,-0.988826465,-0.586738327,-0.480990295,0.015122655,-0.665366214,-1.52689136,0.460714723,0.888917179,-1.165015333,0.522345302,-1.667727531,-1.07421024,1.011299794
-0.81772709,1.011299794,1.641504789,0.340268913,0.819265044,-0.858257397,0.071853711,0.155855167,0.361492986,-0.634650297,1.035088668,1.205067636,0.532591632,-0.988826465
-1.162645152,1.011299794,1.17160318,-0.173018092,0.914362006,-0.793960336,-0.727518824,-0.377649057,0.229636938,-1.165015333,0.778716985,-0.710129142,0.532591632,-0.988826465
-1.047672465,1.011299794,1.641504789,0.442926314,1.224743621,-0.729663275,1.670598782,-0.14900439,2.339333708,-0.767241556,1.804203718,1.205067636,0.532591632,-0.988826465
-0.932699777,1.011299794,1.398974926,0.750898517,1.154427627,-1.244039762,1.670598782,0.155855167,0.493349034,-0.236876519,1.120545896,0.247469247,0.532591632,-0.988826465
-0.81772709,1.011299794,0.989705782,1.777472527,1.009149206,-0.793960336,1.670598782,0.68935939,-0.297787255,-0.966128445,0.009601936,-0.710129142,0.532591632,-0.988826465
-0.702754403,1.011299794,1.777927837,-0.275675493,0.925513441,-0.34388091,1.670598782,-0.301434168,2.734901853,-0.10428526,0.949631441,0.247469247,0.532591632,-0.988826465
-0.587781716,1.011299794,1.277709995,1.674815126,0.855507209,-1.179742701,1.670598782,1.680152949,0.229636938,-0.17058089,0.265973619,-0.710129142,0.532591632,-0.988826465
-0.932699777,1.011299794,1.368658693,0.545583715,0.728504751,-1.308336823,1.670598782,-0.14900439,0.888917179,-0.966128445,1.035088668,-0.710129142,0.532591632,-0.988826465
-1.162645152,1.011299794,1.55055609,0.956213319,0.88834199,-1.179742701,1.670598782,1.680152949,1.152629275,-0.435763408,0.864174213,0.247469247,0.532591632,-0.988826465
-0.81772709,1.011299794,0.853282734,0.237611512,0.970738707,-0.858257397,1.670598782,0.384499834,-0.165931207,-1.297606593,0.095059163,-1.667727531,0.532591632,-0.988826465
-0.587781716,1.011299794,1.717295371,0.648241116,1.19345765,-0.601069153,1.670598782,1.299078503,1.284485323,0.028305999,1.633289262,1.205067636,0.532591632,-0.988826465
-0.932699777,1.011299794,1.656662906,-0.070360691,1.039196129,-0.665366214,1.670598782,-0.072789501,0.888917179,-0.700945926,1.376917579,2.162666025,0.532591632,-0.988826465
-0.587781716,1.011299794,1.353500577,0.340268913,0.783332641,-1.372633883,1.670598782,1.070433836,0.229636938,-0.634650297,0.522345302,-0.710129142,0.532591632,-0.988826465
-1.162645152,1.011299794,1.201919412,1.572157725,0.577340851,-1.244039762,1.670598782,1.451508282,-0.825211447,-0.17058089,0.60780253,-0.710129142,0.532591632,-0.988826465
-0.81772709,1.011299794,1.444449275,1.366842923,0.896395805,-0.922554457,1.670598782,1.756367838,1.548197419,-1.363902222,0.864174213,0.247469247,0.532591632,-0.988826465
-0.702754403,1.011299794,1.580872323,0.750898517,0.761649295,-0.665366214,1.670598782,0.003425388,0.888917179,-0.899832815,0.949631441,1.205067636,0.532591632,-0.988826465
-1.047672465,1.011299794,1.55055609,0.340268913,0.855816971,-0.986851518,1.670598782,0.460714723,0.888917179,-0.700945926,1.547832035,0.247469247,0.532591632,-0.988826465
-4.036962333,1.011299794,1.353500577,0.03229671,0.752975956,-0.472475031,1.670598782,0.613144501,0.09778089,-0.634650297,0.265973619,0.247469247,0.532591632,-0.988826465
-1.047672465,1.011299794,1.535397974,-0.173018092,1.050347564,-1.051148579,1.670598782,2.061227395,1.548197419,0.094601629,1.206003124,0.247469247,0.532591632,-0.988826465
